t_sec,"amd_smi:::power_current:device=1"
43.193638,504
43.194650,504
43.195640,504
43.196650,504
43.197644,504
43.198666,504
43.199641,504
43.200667,504
43.201662,504
43.202651,504
43.203640,504
43.204650,504
43.205640,504
43.206650,504
43.207642,504
43.208652,504
43.209640,504
43.210649,504
43.211640,504
43.212650,504
43.213639,505
43.214650,505
43.215640,505
43.216651,505
43.217640,505
43.218651,505
43.219650,505
43.220651,505
43.221640,505
43.222647,505
43.223641,505
43.224651,505
43.225640,505
43.226650,505
43.227641,505
43.228646,505
43.229647,505
43.230665,505
43.231641,505
43.232652,505
43.233642,505
43.234651,505
43.235641,505
43.236652,505
43.237641,505
43.238652,505
43.239646,505
43.240665,505
43.241641,505
43.242648,505
43.243642,505
43.244649,505
43.245642,506
43.246652,506
43.247642,506
43.248652,506
43.249642,506
43.250649,506
43.251656,506
43.252649,506
43.253642,506
43.254653,506
43.255642,506
43.256652,506
43.257643,506
43.258653,506
43.259642,506
43.260652,506
43.261653,506
43.262653,506
43.263643,506
43.264653,506
43.265643,506
43.266650,506
43.267643,506
43.268654,506
43.269643,506
43.270652,506
43.271647,506
43.272666,506
43.273644,506
43.274654,506
43.275644,506
43.276650,506
43.277644,506
43.278649,506
43.279643,506
43.280651,506
43.281646,506
43.282666,506
43.283644,506
43.284655,506
43.285644,506
43.286650,506
43.287644,506
43.288649,506
43.289644,506
43.290650,506
43.291643,506
43.292654,506
43.293658,506
43.294649,506
43.295644,506
43.296651,506
43.297644,506
43.298655,506
43.299645,506
43.300654,506
43.301645,506
43.302648,506
43.303660,506
43.304649,506
43.305666,507
43.306655,507
43.307645,507
43.308651,507
43.309644,507
43.310648,507
43.311645,507
43.312651,507
43.313649,507
43.314656,507
43.315645,507
43.316651,507
43.317645,507
43.318656,507
43.319645,507
43.320649,507
43.321646,507
43.322650,507
43.323647,507
43.324661,507
43.325665,507
43.326652,507
43.327646,507
43.328651,507
43.329646,507
43.330648,507
43.331646,507
43.332650,507
43.333646,507
43.334650,507
43.335657,507
43.336650,507
43.337646,507
43.338652,507
43.339647,507
43.340651,507
43.341646,507
